,t,"R=0.1,L=1.0,C=1.0,I0=0.1,V0=0.3 ","R=0.5,L=0.25,C=0.3,I0=0.05,V0=0.6 ","R=0.7,L=0.1,C=0.1,I0=0.02,V0=0.9 ","R=0.07,L=0.2,C=0.2,I0=0.07,V0=1.0 ","R=0.2,L=0.1,C=1.0,I0=0.05,V0=0.4 ","R=0.12,L=0.3,C=0.7,I0=0.08,V0=0.6 ","R=0.6,L=0.6,C=0.6,I0=0.09,V0=0.2 ","R=0.2,L=0.4,C=0.3,I0=0.1,V0=0.3 "
487,12.175,0.11567282987649981,3.4727591404375912e-06,-2.4215177478744327e-19,0.1051946860613512,6.5219719751721875e-06,-0.07708029595294609,-8.398643979028963e-05,0.0013852181325236016
488,12.200000000000001,0.11222393539655072,3.2904498134185495e-06,-2.541007711955116e-19,0.11093077684579702,6.163842247823798e-06,-0.0780247318376446,-0.00010531120469549006,0.002345894455455744
489,12.225000000000001,0.10871360367477574,3.0903041964983186e-06,-2.4963780591213874e-19,0.11489340935704549,5.785621513008027e-06,-0.07872876848675489,-0.00012592891992115472,0.0032825001808196538
490,12.25,0.1051441792154882,2.8748179158773214e-06,-2.316522668934551e-19,0.1170364678504927,5.3905941754702425e-06,-0.07919271352440549,-0.00014582169678329333,0.0041904886290951866
491,12.275,0.10151803755397237,2.646489493563036e-06,-2.0334098418097917e-19,0.1173425083165521,4.981986862756517e-06,-0.07941758233494843,-0.00016497333106294933,0.005065517656880968
492,12.3,0.09783758369622643,2.4077999111794933e-06,-1.6797652849214564e-19,0.11582277971785786,4.56295158272333e-06,-0.07940508801445463,-0.0001833692891961701,0.005903469580924275
493,12.325000000000001,0.09410525054420353,2.1611933129382826e-06,-1.2870838767882697e-19,0.11251679925040214,4.136550157133686e-06,-0.0791576293565326,-0.00020099669194087425,0.0067004696933678585
494,12.350000000000001,0.0903234973075737,1.909058948959212e-06,-8.840308342359837e-20,0.10749149211286291,3.70573996395289e-06,-0.07867827692759607,-0.00021784429561092262,0.0074529032899229046
495,12.375,0.0864948079030308,1.6537144451186042e-06,-4.952609616333067e-20,0.10083991294311,3.273361011392542e-06,-0.0779707572918189,-0.0002339024709696117,0.008157431141340652
496,12.4,0.0826216893421724,1.3973904706251113e-06,-1.4065621097850488e-20,0.0926795724308537,2.842124357511589e-06,-0.07703943545088995,-0.0002491631798765798,0.008811003347478426
497,12.425,0.07870667010899275,1.14221685969715e-06,1.6504211528160003e-20,0.08315039854481855,2.414601880312927e-06,-0.07588929556832312,-0.0002636199497836063,0.009410871522373512
498,12.450000000000001,0.07475229852802141,8.902102291551632e-07,4.122488970662552e-20,0.07241236723319724,1.9932173948025345e-06,-0.07452592005245627,-0.0002772678461761675,0.009954599268016692
499,12.475000000000001,0.07076114112415223,6.432631195517751e-07,5.962541327041685e-20,0.0606428422877272,1.5802391054444416e-06,-0.07295546707640076,-0.00029010344305868896,0.010440070903896235
500,12.5,0.06673578097520999,4.031346737402866e-07,7.16708926320575e-20,0.04803366823455681,1.1777733748721523e-06,-0.07118464661704735,-0.0003021247915824116,0.010865498428814287
501,12.525,0.06267881605829431,1.7144285361575323e-07,7.769452435646209e-20,0.03478806357006008,7.877597826292316e-07,-0.06922069509880355,-0.00031333138691548855,0.01122942670091822
502,12.55,0.05859285759095666,-5.0341816767159e-08,7.831949234036088e-20,0.021117364349504626,4.1196744113246567e-07,-0.06707134873101768,-0.0003237241334555469,0.011530736831279568
503,12.575000000000001,0.054480528368251624,-2.6090100531851076e-07,7.437686664408768e-20,0.00723767002579941,5.199252998861545e-08,-0.06474481563102366,-0.00033330530848523133,0.011768647795655502
504,12.600000000000001,0.050344461096715365,-4.59071857953235e-07,6.682482548672333e-20,-0.006633555497845249,-2.9074299573089227e-07,-0.0622497468274239,-0.0003420785243715181,0.011942716278228531
505,12.625,0.046187296726317224,-6.438488614546056e-07,5.667359547037847e-20,-0.020280874403116565,-6.149915726409637e-07,-0.05959520624060051,-0.000350048689409533,0.01205283477009473
506,12.65,0.04201168278142935,-8.143843374385268e-07,4.4919473340791424e-20,-0.033494204475573226,-9.196791254479838e-07,-0.056790639739506536,-0.00035722196741148074,0.012099227954019064
507,12.675,0.037820271691863,-9.699876301682905e-07,3.249023463505427e-20,-0.04607203640957343,-1.203903150334797e-06,-0.05384584337554387,-0.00036360573614093497,0.012082447415449567
508,12.700000000000001,0.03361571912500742,-1.110123058518658e-06,2.020321496357878e-20,-0.05782448989078669,-1.4669298464100899e-06,-0.0507709308957576,-0.0003692085446922696,0.012003364727945698
509,12.725000000000001,0.02940068232011245,-1.2344067089981796e-06,8.736420422368725e-21,-0.06857616237971914,-1.7081903591268007e-06,-0.04757630063870363,-0.0003740400699143304,0.011863162968987918
510,12.75,0.025177818425751786,-1.342602152401612e-06,-1.3877767688423303e-21,-0.07816872814181199,-1.9272762018684965e-06,-0.044272601917138055,-0.00037811107197665807,0.011663326729560943
511,12.775,0.020949782841489892,-1.4346151713802997e-06,-9.807447889016375e-21,-0.08646324931985429,-2.1239339236825286e-06,-0.04087070099216518,-0.00038143334917559765,0.011405630687908404
512,12.8,0.01671922756478541,-1.5104875899954953e-06,-1.6315993662814847e-20,-0.09334216565113858,-2.298059092415389e-06,-0.0373816467436459,-0.00038401969207654916,0.011092126824410836
513,12.825000000000001,0.01248879954414263,-1.5703902991725818e-06,-2.0848991408693585e-20,-0.09871093471554657,-2.4496896633007055e-06,-0.033816636141523575,-0.0003858838370873627,0.010725130360613197
514,12.850000000000001,0.008261139039527857,-1.6146155739253714e-06,-2.346504418530172e-20,-0.1024993002751949,-2.578998803377636e-06,-0.030186979622279807,-0.0003870404195565117,0.010307204510997339
515,12.875,0.004038877991054474,-1.643568779296748e-06,-2.4322687217303846e-20,-0.10466217223997339,-2.6862872420008586e-06,-0.02650406647396618,-0.0003875049264881865,0.009841144141137695
516,12.9,-0.0001753616030670725,-1.6577595621992934e-06,-2.3655301809325355e-20,-0.105180107970756,-2.7719752171648107e-06,-0.022779330332211117,-0.00038729364896482706,0.009329958430371762
517,12.925,-0.004378969298320397,-1.6577926257754814e-06,-2.1745787515132444e-20,-0.10405939091555132,-2.8365940864263587e-06,-0.019024214888251435,-0.00038642363436588317,0.008776852641049906
518,12.950000000000001,-0.008569347804442642,-1.6443581815762523e-06,-1.8902476044649724e-20,-0.10133170886482101,-2.8807776698998164e-06,-0.015250139908403945,-0.00038491263846974604,0.008185209099782393
519,12.975000000000001,-0.012743914573772356,-1.618222172825781e-06,-1.5437461401319255e-20,-0.09705344031283296,-2.9052533911395986e-06,-0.011468467662480424,-0.0003827790775238516,0.007558567498868514
520,13.0,-0.016900103376432322,-1.580216359351055e-06,-1.1648194366599206e-20,-0.09130456342667694,-2.9108332797474548e-06,-0.0076904698564724755,-0.0003800419803659044,0.006900604628267887
521,13.025,-0.021035365861393963,-1.5312283514609372e-06,-7.802867094356942e-21,-0.08418720786162219,-2.898404897270712e-06,-0.003927295162384418,-0.00037672094067704644,0.006215113650046302
522,13.05,-0.025147173102481588,-1.4721916762171663e-06,-4.129812986619459e-21,-0.07582387503414512,-2.8689222454223153e-06,-0.00018993743541213597,-0.0003728360694455647,0.005505983028208226
523,13.075000000000001,-0.029233017128394656,-1.4040759552070497e-06,-8.10881845105479e-22,-0.06635535739185028,-2.823396712882511e-06,0.003510795294283962,-0.000368407947717432,0.004777175227206295
524,13.100000000000001,-0.033290412435828504,-1.3278772681637225e-06,2.0214700298516814e-21,-0.055938391630039844,-2.7628881139629577e-06,0.007164310971109519,-0.00036345757970760237,0.004032705292207633
